-6052815.04689	-396421.015575	14.27
-6052104.6974	-396418.056723	25.06
-6051074.41296	-396431.417699	25.905
-6050039.93862	-396424.118049	25.4
-6049156.91728	-396445.221311	20.825
-6048246.49268	-396436.537038	7.08
-6046855.46837	-396427.092008	22.57
-6046180.96859	-396430.197223	19.71
-6044883.82024	-396426.998649	13.78
-6043827.24829	-396414.952385	22.1
-6042967.28485	-396418.078752	22.88
-6042165.28982	-396426.050907	23.275
-6040997.78104	-396438.765384	24
-6040219.71282	-396437.80949	9.85
-6038786.35794	-396439.750351	15.39
-6038089.57287	-396438.546794	22.18
-6037384.22086	-396447.3562	23.45
-6034685.70448	-396416.649765	10.53
-6034047.50265	-396430.111351	25.31
-6033126.84052	-396394.34352	26.59
-6032430.63283	-396437.539299	15.35
-6029755.22863	-396420.168257	25.8
-6029136.15341	-396413.676784	24.18
-6028079.74065	-396439.719978	25.96
-6027135.25686	-396407.935884	23.325
-6025966.49883	-396415.244833	23.78
-6024877.08028	-396433.029324	26.66
-6023883.2151	-396436.633403	25.585
-6023270.27608	-396411.884678	26.93
-6022062.34421	-396436.950013	34.2
-6021429.55823	-396419.181677	30.72
-6019900.85577	-396462.435809	25.305
-6019309.98335	-396432.773903	19.2
-6017780.38622	-396408.346909	20.575
-6017142.36404	-396428.468175	22.17
-6016027.53186	-396404.333131	33.6
-6015376.53252	-396434.357499	30.83
-6009620.29343	-396429.416957	20.45
-6008663.70426	-396399.161098	23.45
-6008029.97866	-396419.365355	26.295
-6002611.55051	-396426.87271	21.05
-6001754.91737	-396436.131111	13.395
-6000912.2387	-396419.895892	14.285
-6000071.76557	-396405.952393	10.37
-5999038.98793	-396437.826354	11.12
-5998387.43621	-396437.352343	23.195
-5991868.12428	-396429.129073	34.8
-5991246.18659	-396419.792528	29.67
-5990258.99941	-396421.15405	16.37
-5988648.43011	-396482.351026	9.1
-5987950.85774	-396429.433237	24.235
-5987313.19687	-396441.59761	29.95
-5986043.29549	-396427.33679	22.3
-5985460.61831	-396431.497706	16.095
-5983613.25248	-396424.796258	22.46
-5982807.25538	-396412.692553	16.83
-5982269.37864	-396395.847487	23.78
-6053029.97406	-397174.116113	19.78
-6051911.90606	-396933.305853	20.545
-6051010.8549	-397046.064424	23.13
-6050016.96606	-396986.379771	23.71
-6049257.96569	-396945.930964	18.595
-6048011.53128	-396962.297648	11.92
-6047042.36408	-396866.802336	21.345
